change_date,days_after,future_date,change_type,from_position,to_position,change_price,future_price,future_return,future_return_pct
2025-03-17,10,2025-03-31,減倉（50% → 空手）,0.5,0.0,560.5671997070312,554.5604858398438,-0.010715421577157536,-1.0715421577157536
2025-03-17,20,2025-04-14,減倉（50% → 空手）,0.5,0.0,560.5671997070312,534.4654541015625,-0.04656309826745176,-4.656309826745176
2025-03-17,30,2025-04-29,減倉（50% → 空手）,0.5,0.0,560.5671997070312,549.5342407226562,-0.01968177765331462,-1.9681777653314618
2025-03-19,10,2025-04-02,加倉（空手 → 50%）,0.0,0.5,560.54736328125,559.6461791992188,-0.001607685881806723,-0.1607685881806723
2025-03-19,20,2025-04-16,加倉（空手 → 50%）,0.0,0.5,560.54736328125,521.1216430664062,-0.07033432462166844,-7.033432462166845
2025-03-19,30,2025-05-01,加倉（空手 → 50%）,0.0,0.5,560.54736328125,553.6484375,-0.012307480568396718,-1.2307480568396718
2025-04-03,10,2025-04-17,減倉（50% → 空手）,0.5,0.0,532.06640625,521.8651733398438,-0.01917285660272082,-1.917285660272082
2025-04-03,20,2025-05-02,減倉（50% → 空手）,0.5,0.0,532.06640625,561.8668823242188,0.05600894122267985,5.600894122267985
2025-04-03,30,2025-05-16,減倉（50% → 空手）,0.5,0.0,532.06640625,589.0699462890625,0.10713613821406809,10.71361382140681
2025-07-01,10,2025-07-16,加倉（空手 → 50%）,0.0,0.5,614.127685546875,620.66015625,0.01063699106368718,1.063699106368718
2025-07-01,20,2025-07-30,加倉（空手 → 50%）,0.0,0.5,614.127685546875,630.841796875,0.027216019927910007,2.7216019927910007
2025-07-01,30,2025-08-13,加倉（空手 → 50%）,0.0,0.5,614.127685546875,641.2123413085938,0.044102645751266066,4.4102645751266065
2025-08-21,10,2025-09-05,加倉（50% → 100%）,0.5,1.0,631.925537109375,643.5488891601562,0.018393546973825583,1.8393546973825583
2025-08-21,20,2025-09-19,加倉（50% → 100%）,0.5,1.0,631.925537109375,661.74462890625,0.04718766697303744,4.718766697303744
2025-08-21,30,2025-10-03,加倉（50% → 100%）,0.5,1.0,631.925537109375,667.2384033203125,0.05588137230925908,5.588137230925908
2025-08-22,10,2025-09-08,減倉（100% → 50%）,1.0,0.5,641.6299438476562,645.1298217773438,0.00545466738771544,0.5454667387715441
2025-08-22,20,2025-09-22,減倉（100% → 50%）,1.0,0.5,641.6299438476562,664.8753662109375,0.03622870563659427,3.622870563659427
2025-08-22,30,2025-10-06,減倉（100% → 50%）,1.0,0.5,641.6299438476562,669.6312866210938,0.04364095385811035,4.364095385811035
2025-08-29,10,2025-09-15,加倉（50% → 100%）,0.5,1.0,641.3713989257812,657.1409301757812,0.024587206845225775,2.4587206845225773
2025-08-29,20,2025-09-29,加倉（50% → 100%）,0.5,1.0,641.3713989257812,661.7246704101562,0.03173398676408746,3.173398676408746
2025-08-29,30,2025-10-13,加倉（50% → 100%）,0.5,1.0,641.3713989257812,661.0865478515625,0.030739052222786542,3.073905222278654
2025-09-26,10,2025-10-10,減倉（100% → 50%）,1.0,0.5,659.8701782226562,651.0960693359375,-0.013296719834121905,-1.3296719834121906
2025-09-26,20,2025-10-24,減倉（100% → 50%）,1.0,0.5,659.8701782226562,675.2546997070312,0.023314466984722393,2.3314466984722393
2025-09-26,30,2025-11-07,減倉（100% → 50%）,1.0,0.5,659.8701782226562,668.9931640625,0.01382542527443244,1.382542527443244
2025-09-29,10,2025-10-13,加倉（50% → 100%）,0.5,1.0,661.7246704101562,661.0865478515625,-0.0009643324287701455,-0.09643324287701455
2025-09-29,20,2025-10-27,加倉（50% → 100%）,0.5,1.0,661.7246704101562,683.2211303710938,0.032485504806120294,3.2485504806120296
2025-09-29,30,2025-11-10,加倉（50% → 100%）,0.5,1.0,661.7246704101562,679.432373046875,0.026759925129802097,2.67599251298021
2025-10-10,10,2025-10-24,減倉（100% → 50%）,1.0,0.5,651.0960693359375,675.2546997070312,0.03710455570056427,3.710455570056427
2025-10-10,20,2025-11-07,減倉（100% → 50%）,1.0,0.5,651.0960693359375,668.9931640625,0.027487640564035368,2.748764056403537
2025-10-10,30,2025-11-21,減倉（100% → 50%）,1.0,0.5,651.0960693359375,657.08837890625,0.009203418439346663,0.9203418439346663
2025-11-05,10,2025-11-19,加倉（50% → 100%）,0.5,1.0,675.583740234375,660.6777954101562,-0.022063800438784312,-2.2063800438784313
2025-11-05,20,2025-12-04,加倉（50% → 100%）,0.5,1.0,675.583740234375,682.3736572265625,0.010050444656693375,1.0050444656693376
2025-11-05,30,2025-12-18,加倉（50% → 100%）,0.5,1.0,675.583740234375,674.4769287109375,-0.001638303969621179,-0.1638303969621179
2025-11-10,10,2025-11-24,減倉（100% → 50%）,1.0,0.5,679.432373046875,666.759765625,-0.018651756855572584,-1.8651756855572583
2025-11-10,20,2025-12-09,減倉（100% → 50%）,1.0,0.5,679.432373046875,681.027587890625,0.0023478640509817803,0.23478640509817802
2025-11-10,30,2025-12-23,減倉（100% → 50%）,1.0,0.5,679.432373046875,687.9600219726562,0.012551137190504338,1.2551137190504338
2025-11-18,10,2025-12-03,加倉（50% → 100%）,0.5,1.0,658.1353149414062,681.8751220703125,0.03607131632348251,3.607131632348251
2025-11-18,20,2025-12-17,加倉（50% → 100%）,0.5,1.0,658.1353149414062,669.4219360351562,0.01714939289461294,1.7149392894612938
2025-11-18,30,2026-01-02,加倉（50% → 100%）,0.5,1.0,658.1353149414062,683.1699829101562,0.03803878533851179,3.8038785338511785
2025-11-20,10,2025-12-05,減倉（100% → 50%）,1.0,0.5,650.6075439453125,683.6697998046875,0.050817510751387907,5.081751075138791
2025-11-20,20,2025-12-19,減倉（100% → 50%）,1.0,0.5,650.6075439453125,680.5900268554688,0.04608382301923702,4.608382301923702
2025-11-20,30,2026-01-06,減倉（100% → 50%）,1.0,0.5,650.6075439453125,691.8099975585938,0.06332919745047494,6.332919745047494
2026-01-07,10,2026-01-22,加倉（50% → 100%）,0.5,1.0,689.5800170898438,688.97998046875,-0.000870147925147275,-0.0870147925147275
2026-01-07,20,2026-02-05,加倉（50% → 100%）,0.5,1.0,689.5800170898438,677.6199951171875,-0.017343921918053503,-1.7343921918053502
2026-01-07,30,2026-02-20,加倉（50% → 100%）,0.5,1.0,689.5800170898438,689.4299926757812,-0.0002175591089423255,-0.02175591089423255
2026-02-06,10,2026-02-23,減倉（100% → 50%）,1.0,0.5,690.6199951171875,682.3900146484375,-0.011916800160634648,-1.1916800160634649
