日期,相關係數,相關性水平,標準化分數
2025-06-23 (Monday),,,
2025-06-24 (Tuesday),,,
2025-06-25 (Wednesday),,,
2025-06-26 (Thursday),,,
2025-06-27 (Friday),,,
2025-06-30 (Monday),,,
2025-07-01 (Tuesday),,,
2025-07-02 (Wednesday),,,
2025-07-03 (Thursday),,,
2025-07-07 (Monday),,,
2025-07-08 (Tuesday),,,
2025-07-09 (Wednesday),,,
2025-07-10 (Thursday),,,
2025-07-11 (Friday),,,
2025-07-14 (Monday),,,
2025-07-15 (Tuesday),,,
2025-07-16 (Wednesday),,,
2025-07-17 (Thursday),,,
2025-07-18 (Friday),,,
2025-07-21 (Monday),,,
2025-07-22 (Tuesday),,,
2025-07-23 (Wednesday),,,
2025-07-24 (Thursday),,,
2025-07-25 (Friday),,,
2025-07-28 (Monday),,,
2025-07-29 (Tuesday),,,
2025-07-30 (Wednesday),,,
2025-07-31 (Thursday),,,
2025-08-01 (Friday),,,
2025-08-04 (Monday),,,
2025-08-05 (Tuesday),,,
2025-08-06 (Wednesday),,,
2025-08-07 (Thursday),,,
2025-08-08 (Friday),,,
2025-08-11 (Monday),,,
2025-08-12 (Tuesday),,,
2025-08-13 (Wednesday),,,
2025-08-14 (Thursday),,,
2025-08-15 (Friday),,,
2025-08-18 (Monday),,,
2025-08-19 (Tuesday),,,
2025-08-20 (Wednesday),,,
2025-08-21 (Thursday),,,
2025-08-22 (Friday),,,
2025-08-25 (Monday),,,
2025-08-26 (Tuesday),,,
2025-08-27 (Wednesday),,,
2025-08-28 (Thursday),,,
2025-08-29 (Friday),,,
2025-09-02 (Tuesday),,,
2025-09-03 (Wednesday),,,
2025-09-04 (Thursday),,,
2025-09-05 (Friday),,,
2025-09-08 (Monday),,,
2025-09-09 (Tuesday),,,
2025-09-10 (Wednesday),,,
2025-09-11 (Thursday),,,
2025-09-12 (Friday),,,
2025-09-15 (Monday),,,
2025-09-16 (Tuesday),-0.21187240596553508,中等相關,-2.9829926633193398
2025-09-17 (Wednesday),-0.20588049927884533,中等相關,-2.926241860194296
2025-09-18 (Thursday),-0.16140486405094961,弱相關,-2.5050023198178764
2025-09-19 (Friday),-0.14662661460517043,弱相關,-2.3650339310088153
2025-09-22 (Monday),-0.11937251257008061,弱相關,-2.1069037130634958
2025-09-23 (Tuesday),-0.11755736074064983,弱相關,-2.0897119693497763
2025-09-24 (Wednesday),-0.1154208355806252,弱相關,-2.0694764207893157
2025-09-25 (Thursday),-0.10104205859712925,弱相關,-1.9332915326664837
2025-09-26 (Friday),-0.10425195015288774,弱相關,-1.9636931949851315
2025-09-29 (Monday),-0.06753850254721722,弱相關,-1.6159712183162869
2025-09-30 (Tuesday),-0.07002935902480115,弱相關,-1.6395627248205715
2025-10-01 (Wednesday),-0.0758928475772846,弱相關,-1.6950972486153286
2025-10-02 (Thursday),-0.08388220645261348,弱相關,-1.7707664064205209
2025-10-03 (Friday),-0.092721962675916,弱相關,-1.8544898839934283
2025-10-06 (Monday),-0.05440906181112922,弱相關,-1.491619097144103
2025-10-07 (Tuesday),-0.05475550785898679,弱相關,-1.4949003717839584
2025-10-08 (Wednesday),-0.01696672168563435,弱相關,-1.136993602437543
2025-10-09 (Thursday),0.0001968625132544658,弱相關,-0.974433128998433
2025-10-10 (Friday),-0.04869448632951737,弱相關,-1.4374949652011668
2025-10-13 (Monday),0.0413403770510075,弱相關,-0.5847529127508819
2025-10-14 (Tuesday),0.02570970827993035,弱相關,-0.7327947719658539
2025-10-15 (Wednesday),0.04977574111657092,弱相關,-0.5048595314944179
2025-10-16 (Thursday),0.04102682242125371,弱相關,-0.5877226647835081
2025-10-17 (Friday),0.01771166791775961,弱相關,-0.808546154240878
2025-10-20 (Monday),0.08349941796443462,弱相關,-0.18545439961927024
2025-10-21 (Tuesday),0.08186326053776442,弱相關,-0.20095084388279666
2025-10-22 (Wednesday),0.08567975131300756,弱相關,-0.164803933067998
2025-10-23 (Thursday),0.08755929462034562,弱相關,-0.14700232203211858
2025-10-24 (Friday),0.08047837863680767,弱相關,-0.21406739663005794
2025-10-27 (Monday),0.06181132816963578,弱相關,-0.39086756415285784
2025-10-28 (Tuesday),0.04871923112192154,弱相關,-0.5148659941850297
2025-10-29 (Wednesday),0.04450843061847505,弱相關,-0.5547475081780231
2025-10-30 (Thursday),0.01141644149046079,弱相關,-0.868169772278324
2025-10-31 (Friday),0.00667208928465382,弱相關,-0.9131046839961108
2025-11-03 (Monday),0.009415488820354437,弱相關,-0.8871212808684005
2025-11-04 (Tuesday),0.05580668235116136,弱相關,-0.44773902268822424
2025-11-05 (Wednesday),0.06754875695325158,弱相關,-0.33652698303762996
2025-11-06 (Thursday),0.07515241688155706,弱相關,-0.26451087361129266
2025-11-07 (Friday),0.07175649763194825,弱相關,-0.2966744493877984
2025-11-10 (Monday),0.12473087731098484,弱相關,0.20505876326628603
2025-11-11 (Tuesday),0.123529119431057,弱相關,0.1936766225865498
2025-11-12 (Wednesday),0.10583010666194417,弱相關,0.026044975151388348
2025-11-13 (Thursday),0.13661364456851183,弱相關,0.3176033372181184
2025-11-14 (Friday),0.1314845819506268,弱相關,0.2690247397759703
2025-11-17 (Monday),0.13616113877906527,弱相關,0.31331754501329834
2025-11-18 (Tuesday),0.12612813191354877,弱相關,0.21829250087468563
2025-11-19 (Wednesday),0.1236700207752089,弱相關,0.1950111334292806
2025-11-20 (Thursday),0.1269677104473457,弱相關,0.2262443530264162
2025-11-21 (Friday),0.12063762819398428,弱相關,0.16629060699698486
2025-11-24 (Monday),0.15689619970398694,弱相關,0.509704341715253
2025-11-25 (Tuesday),0.17918674015085925,弱相關,0.7208234626557259
2025-11-26 (Wednesday),0.17964910194053557,弱相關,0.7252026034318585
2025-11-28 (Friday),0.19219070750230607,弱相關,0.8439871949357695
2025-12-01 (Monday),0.19155001911041977,弱相關,0.8379190796106079
2025-12-02 (Tuesday),0.18154562803351942,弱相關,0.7431650625541809
2025-12-03 (Wednesday),0.18199558308044786,弱相關,0.7474266960572659
2025-12-04 (Thursday),0.18246151381075432,弱相關,0.7518396391366812
2025-12-05 (Friday),0.1832538448403982,弱相關,0.7593439987044074
2025-12-08 (Monday),0.18489708630044022,弱相關,0.7749075375680732
2025-12-09 (Tuesday),0.1797884517025782,弱相關,0.7265224188636926
2025-12-10 (Wednesday),0.18022871205965396,弱相關,0.7306922316052142
2025-12-11 (Thursday),0.17336513591482522,弱相關,0.6656856353919958
2025-12-12 (Friday),0.16955886691721356,弱相關,0.6296355375150955
2025-12-15 (Monday),0.16602726508584875,弱相關,0.5961868790616789
2025-12-16 (Tuesday),0.1588015798740651,弱相關,0.527750659951595
2025-12-17 (Wednesday),0.14477320410017397,弱相關,0.3948845067658796
2025-12-18 (Thursday),0.13300503147193551,弱相關,0.28342528637277126
2025-12-19 (Friday),0.13087245941961434,弱相關,0.2632271786552242
2025-12-22 (Monday),0.13593076497245776,弱相關,0.3111356187538338
2025-12-23 (Tuesday),0.13513891483589405,弱相關,0.30363581384123545
2025-12-24 (Wednesday),0.13242763008212938,弱相關,0.2779565776110336
2025-12-26 (Friday),0.13192403448182546,弱相關,0.2731869014024619
2025-12-29 (Monday),0.1470662245913639,弱相關,0.4166022606064526
2025-12-30 (Tuesday),0.15030846875000708,弱相關,0.4473103422825601
2025-12-31 (Wednesday),0.14654726353792813,弱相關,0.41168705446038206
2026-01-02 (Friday),0.14795056457623124,弱相關,0.42497805932980304
2026-01-05 (Monday),0.14875218741520368,弱相關,0.43257042387982525
2026-01-06 (Tuesday),0.15374194571087912,弱相關,0.4798296362618311
2026-01-07 (Wednesday),0.19576241634253094,弱相關,0.8778157166084862
2026-01-08 (Thursday),0.1538803552584488,弱相關,0.48114054669409817
2026-01-09 (Friday),0.16334937051125237,弱相關,0.5708238893258523
2026-01-12 (Monday),0.1532963919630253,弱相關,0.4756096885309617
2026-01-13 (Tuesday),0.16725177984652195,弱相關,0.6077845556845547
2026-01-14 (Wednesday),0.1701002244678847,弱相關,0.6347628663245778
2026-01-15 (Thursday),0.1287023711426337,弱相關,0.24267374566460936
2026-01-16 (Friday),0.15390086455467022,弱相關,0.4813347952184755
2026-01-20 (Tuesday),0.039945388763271535,弱相關,-0.5979651855412618
2026-01-21 (Wednesday),0.057724744440766695,弱相關,-0.4295725909127424
2026-01-22 (Thursday),0.07909223700532847,弱相關,-0.22719588059097254
2026-01-23 (Friday),0.16269640123182771,弱相關,0.5646394587328915
2026-01-26 (Monday),0.18122888303551327,弱相關,0.7401650937691829
2026-01-27 (Tuesday),0.20588550999236202,中等相關,0.9736939945553226
2026-01-28 (Wednesday),0.24261257939793465,中等相關,1.3215449865985505
2026-01-29 (Thursday),0.2514483558795636,中等相關,1.4052307710717464
2026-01-30 (Friday),0.2821296260801464,中等相關,1.695820530863463
2026-02-02 (Monday),0.2200874303216439,中等相關,1.108203830363513
2026-02-03 (Tuesday),0.12414512629949898,弱相關,0.19951097321024724
2026-02-04 (Wednesday),0.12344412701415262,弱相關,0.192871638769032
2026-02-05 (Thursday),0.1528941554958604,弱相關,0.47180000928337
2026-02-06 (Friday),0.15669085077976294,弱相關,0.5077594321931367
2026-02-09 (Monday),0.16774472867301007,弱相關,0.612453393713173
2026-02-10 (Tuesday),0.17255253677802748,弱相關,0.6579893116601143
2026-02-11 (Wednesday),0.1620443747012883,弱相關,0.5584639571435317
2026-02-12 (Thursday),0.2126852168003367,中等相關,1.0380956687710767
2026-02-13 (Friday),0.20699421887024153,中等相關,0.9841948455434225
2026-02-17 (Tuesday),0.2116847415923154,中等相關,1.028619925150431
2026-02-18 (Wednesday),0.22096723436096163,中等相關,1.1165366680451898
2026-02-19 (Thursday),0.22505834036850106,中等相關,1.155284526404416
2026-02-20 (Friday),0.23672445796181793,中等相關,1.2657771587817896
2026-02-23 (Monday),0.20013404406456092,中等相關,0.9192204642391555
2026-02-24 (Tuesday),0.18464718001220481,弱相關,0.7725406144324272
2026-02-25 (Wednesday),0.17231469531551205,弱相關,0.6557366574183237
2026-02-26 (Thursday),0.16130195956914803,弱相關,0.5514323631611457
2026-02-27 (Friday),0.15919613990476736,弱相關,0.5314876338055329
2026-03-02 (Monday),0.16786639472956236,弱相關,0.6136057224765258
2026-03-03 (Tuesday),0.19847238179070145,弱相關,0.9034824573750652
2026-03-04 (Wednesday),0.19879529416610897,弱相關,0.9065408388889329
2026-03-05 (Thursday),0.20309422176791325,中等相關,0.9472570260286217
